Nicholls,Colonels,Nicholls State University,Thibodaux,Southland,Louisiana,1972
Norfolk State,Spartans,Norfolk State University,Norfolk,MEAC,Virginia,1938
North Carolina A&T,Aggies,North Carolina A&T State University,Greensboro,MEAC,North Carolina,1901
North Carolina Central,Eagles,North Carolina Central University,Durham,MEAC,North Carolina,1921
North Dakota,Fighting Hawks,University of North Dakota,Grand Forks,Independent,North Dakota,1894
North Dakota State,Bison,North Dakota State University,Fargo,Missouri Valley,North Dakota,1894
Northern Arizona,Lumberjacks,Northern Arizona University,Flagstaff,Big Sky,Arizona,1915
Northern Colorado,Bears,University of Northern Colorado,Greeley,Big Sky,Colorado,1892
Northern Iowa,Panthers,University of Northern Iowa,Cedar Falls,Missouri Valley,Iowa,1895
Northwestern State,Demons,Northwestern State University,Natchitoches,Southland,Louisiana,1907
Penn,Quakers,University of Pennsylvania,Philadelphia,Ivy,Pennsylvania,1876
Portland State,Vikings,Portland State University,Portland,Big Sky,Oregon,1947
Prairie View A&M,Panthers,Prairie View A&M University,Prairie View,SWAC,Texas,1906
Presbyterian,Blue Hose,Presbyterian College,Clinton,Big South,South Carolina,1913
Princeton,Tigers,Princeton University,Princeton,Ivy,New Jersey,1869
Rhode Island,Rams,University of Rhode Island,Kingston,CAA,Rhode Island,1895
Richmond,Spiders,University of Richmond,Richmond,CAA,Virginia,1881
Robert Morris,Colonials,Robert Morris University,Moon Township,Northeast,Pennsylvania,1994
Sacramento State,Hornets,"California State University, Sacramento",Sacramento,Big Sky,California,1954
Sacred Heart,Pioneers,Sacred Heart University,Fairfield,Northeast,Connecticut,1991
Saint Francis,Red Flash,Saint Francis University,Loretto,Northeast,Pennsylvania,1909
Sam Houston State,Bearkats,Sam Houston State University,Huntsville,Southland,Texas,1912
Samford,Bulldogs,Samford University,Birmingham,Southern,Alabama,1902
San Diego,Toreros,University of San Diego,San Diego,Pioneer,California,1956
South Carolina State,Bulldogs,South Carolina State University,Orangeburg,MEAC,South Carolina,1906
South Dakota,Coyotes,University of South Dakota,Vermillion,Missouri Valley,South Dakota,1889
South Dakota State,Jackrabbits,South Dakota State University,Brookings,Missouri Valley,South Dakota,1889
Southeast Missouri State,Redhawks,Southeast Missouri State University,Cape Girardeau,Ohio Valley,Missouri,1902
Southeastern Louisiana,Lions,Southeastern Louisiana University,Hammond,Southland,Louisiana,1930
Southern,Jaguars,Southern University,Baton Rouge,SWAC,Louisiana,1915
Southern Illinois,Salukis,Southern Illinois University Carbondale,Carbondale,Missouri Valley,Illinois,1904
Southern Utah,Thunderbirds,Southern Utah University,Cedar City,Big Sky,Utah,1929
Stephen F. Austin,Lumberjacks,Stephen F. Austin State University,Nacogdoches,Southland,Texas,1923
Stetson,Hatters,Stetson University,DeLand,Pioneer,Florida,1901
Stony Brook,Seawolves,Stony Brook University,Stony Brook,CAA,New York,1969
Tennessee State,Tigers,Tennessee State University,Nashville,Ohio Valley,Tennessee,1916
Tennessee Tech,Golden Eagles,Tennessee Technological University,Cookeville,Ohio Valley,Tennessee,1917
Texas Southern,Tigers,Texas Southern University,Houston,SWAC,Texas,1947
Towson,Tigers,Towson University,Towson,CAA,Maryland,1968
UC Davis,Aggies,"University of California, Davis",Davis,Big Sky,California,1915
UT Martin,Skyhawks,University of Tennessee at Martin,Martin,Ohio Valley,Tennessee,1953
Valparaiso,Crusaders,Valparaiso University,Valparaiso,Pioneer,Indiana,1906
Villanova,Wildcats,Villanova University,Villanova,CAA,Pennsylvania,1894
VMI,Keydets,Virginia Military Institute,Lexington,Southern,Virginia,1873
Wagner,Seahawks,Wagner College,New York,Northeast,New York,1927
Weber State,Wildcats,Weber State University,Ogden,Big Sky,Utah,1962
Western Carolina,Catamounts,Western Carolina University,Cullowhee,Southern,North Carolina,1931
Western Illinois,Leathernecks,Western Illinois University,Macomb,Missouri Valley,Illinois,1903
William & Mary,Tribe,College of William & Mary,Williamsburg,CAA,Virginia,1893
Wofford,Terriers,Wofford College,Spartanburg,Southern,South Carolina,1889
Yale,Bulldogs,Yale University,New Haven,Ivy,Connecticut,1872
Youngstown State,Penguins,Youngstown State University,Youngstown,Missouri Valley,Ohio,1938
