School, City and State, Region, Conference, Division,,,,,
Colorado," ""Boulder"," COLORADO""", South West, Pacific-12 Conference  , NCAA I-A  ,#REF!,Colorado,#C0C0C0,#CEBE70
Colorado State," ""Fort Collins"," COLORADO""", South West, Mountain West Conference  , NCAA I-A  ,#REF!,Colorado State,#00A550,#FFFFFF
Columbia," ""New York"," NEW YORK""", North East, Ivy League  , NCAA I-AA  ,X,Columbia,#9BDDFF,#FFFFFF
Connecticut," ""Storrs"," CONNECTICUT""", New England, Big East Conference  , NCAA I-A  ,X,Connecticut,,
Cornell," ""Ithaca"," NEW YORK""", North East, Ivy League  , NCAA I-AA  ,X,Cornell,#69005C,#69005C
Dartmouth," ""Hanover"," NEW HAMPSHIRE""", New England, Ivy League  , NCAA I-AA  ,X,Dartmouth,#00693E,#FFFFFF
Davidson," ""Davidson"," NORTH CAROLINA""", Mid East, Pioneer Football League  , NCAA I-AA  ,#REF!,Davidson,#FF0000,#000000
Dayton," ""Dayton"," OHIO""", Great Lakes, Pioneer Football League  , NCAA I-AA  ,X,Dayton,#FF0000,#9BDDFF
Delaware," ""Newark"," DELAWARE""", North East, Colonial Athletic Association  , NCAA I-AA  ,#REF!,Delaware,,
Delaware State," ""Dover"," DELAWARE""", North East, Mid-Eastern Athletic Conference  , NCAA I-AA  ,X,Delaware State,#ff0000,#0097d8
Drake," ""Des Moines"," IOWA""", Mid West, Pioneer Football League  , NCAA I-AA  ,#REF!,Drake,#ffffff,#FCA120
Duke," ""Durham"," NORTH CAROLINA""", Mid East, Atlantic Coast Conference  , NCAA I-A  ,X,Duke,#000066,#FFDB56
Duquesne," ""Pittsburgh"," PENNSYLVANIA""", North East, Northeast Conference  , NCAA I-AA  ,X,Duquesne,#000066,#000066
East Carolina," ""Greenville"," NORTH CAROLINA""", Mid East, American Athletic Conference  , NCAA I-A  ,X,East Carolina,#592A8A,#FEC923
East Tennessee State," ""Johnson City"," TENNESSEE""", Mid East, Southern Conference  , NCAA I-AA  ,#REF!,East Tennessee State,#000080,#CFB53B
Eastern Illinois," ""Charleston"," ILLINOIS""", Great Lakes, Ohio Valley Conference  , NCAA I-AA  ,X,Eastern Illinois,,
Eastern Kentucky," ""Richmond"," KENTUCKY""", Mid East, Ohio Valley Conference  , NCAA I-AA  ,#REF!,Eastern Kentucky,#7A0019,#FFFFFF
Eastern Michigan," ""Ypsilanti"," MICHIGAN""", Great Lakes, Mid-American Conference  , NCAA I-A  ,X,Eastern Michigan,#005d28,#ffffff
Eastern Washington," ""Cheney"," WASHINGTON""", West Coast, Big Sky Conference  , NCAA I-AA  ,X,Eastern Washington,#a10022,#DBCDFF
Elon," ""Elon"," NORTH CAROLINA""", Mid East, Colonial Athletic Association  , NCAA I-AA  ,X,Elon,#660000,#C99F05
Florida," ""Gainesville"," FLORIDA""", South East, Southeastern Conference  , NCAA I-A  ,X,Florida,,
Florida A&M," ""Tallahassee"," FLORIDA""", South East, Mid-Eastern Athletic Conference  , NCAA I-AA  ,#REF!,Florida A&M,,
Florida Atlantic," ""Boca Raton"," FLORIDA""", South East, Conference USA  , NCAA I-A  ,X,Florida Atlantic,#003366,#CE2029
Florida International," ""Miami"," FLORIDA""", South East, Conference USA  , NCAA I-A  ,#REF!,Florida International,#002D62,#C5960C
Florida State," ""Tallahassee"," FLORIDA""", South East, Atlantic Coast Conference  , NCAA I-A  ,X,Florida State,#002D62,#C5960C
Fordham," ""Bronx"," NEW YORK""", North East, Patriot League  , NCAA I-AA  ,#REF!,Fordham,#76032E,#FFFFFF
Furman," ""Greenville"," SOUTH CAROLINA""", South East, Southern Conference  , NCAA I-AA  ,#REF!,Furman,#9a122c,#0000ff
Gardner-Webb," ""Boiling Springs"," NORTH CAROLINA""", Mid East, Big South Conference  , NCAA I-AA  ,#REF!,Gardner-Webb,,
Georgetown," ""Washington"," DISTRICT OF COLUMBIA""", North East, Patriot League  , NCAA I-AA  ,X,Georgetown,#008000,#FFCC00
Georgia," ""Athens"," GEORGIA""", South East, Southeastern Conference  , NCAA I-A  ,X,Georgia,#FF0000,#000000
Georgia Southern," ""Statesboro"," GEORGIA""", South East, Sun Belt Conference  , NCAA I-A  ,X,Georgia Southern,#000080,#FFFFFF
Georgia State," ""Atlanta"," GEORGIA""", South East, Sun Belt Conference  , NCAA I-A  ,X,Georgia State,#0000FF,#FFFFFF
Georgia Tech," ""Atlanta"," GEORGIA""", South East, Atlantic Coast Conference  , NCAA I-A  ,X,Georgia Tech,#CFB53B,#ffffff
Grambling State," ""Grambling"," LOUISIANA""", Mid South, Southwestern Athletic Conference  , NCAA I-AA  ,#REF!,Grambling State,#000000,#FFD700
Hampton," ""Hampton"," VIRGINIA""", Mid East, Big South Conference  , NCAA I-AA  ,#REF!,Hampton,#A8EDEF,#A8EDEF
Harvard," ""Cambridge"," MASSACHUSETTS""", New England, Ivy League  , NCAA I-AA  ,#REF!,Harvard,#DC143C,#000000
Hawaii," ""Honolulu"," HAWAII""", West Coast, Mountain West Conference  , NCAA I-A  ,#REF!,Hawaii,#800020,#800020
Holy Cross," ""Worcester"," MASSACHUSETTS""", New England, Patriot League  , NCAA I-AA  ,#REF!,Holy Cross,#660066,#C0C0C0
Houston," ""Houston"," TEXAS""", Mid South, American Athletic Conference  , NCAA I-A  ,X,Houston,#CC0000,#FFFFFF
Houston Baptist," ""Houston"," TEXAS""", Mid South, Southland Conference  , NCAA I-AA  ,#REF!,Houston Baptist,,
Howard," ""Washington"," DISTRICT OF COLUMBIA""", North East, Mid-Eastern Athletic Conference  , NCAA I-AA  ,X,Howard,#FF0000,#00008B
Idaho," ""Moscow"," IDAHO""", North West, Sun Belt Conference  , NCAA I-AA  ,X,Idaho,#C0C0C0,#CEBE70
Idaho State," ""Pocatello"," IDAHO""", North West, Big Sky Conference  , NCAA I-AA  ,X,Idaho State,#000000,#ff9900
Illinois," ""Champaign"," ILLINOIS""", Great Lakes, Big Ten Conference  , NCAA I-A  ,X,Illinois,#FF6600,#003366
Illinois State," ""Normal"," ILLINOIS""", Great Lakes, Missouri Valley Conference  , NCAA I-AA  ,#REF!,Illinois State,#FF0000,#E32636
Indiana," ""Bloomington"," INDIANA""", Great Lakes, Big Ten Conference  , NCAA I-A  ,X,Indiana,#FFFFCC,#990000
Indiana State," ""Terre Haute"," INDIANA""", Great Lakes, Missouri Valley Football Conference  , NCAA I-AA  ,X,Indiana State,#0F4D92,#FFFFFF
Iowa," ""Iowa City"," IOWA""", Mid West, Big Ten Conference  , NCAA I-A  ,X,Iowa,#000000,#CFB53B
Iowa State," ""Ames"," IOWA""", Mid West, Big 12 Conference  , NCAA I-A  ,X,Iowa State,#a71930,#fdc82f
Jackson State," ""Jackson"," MISSISSIPPI""", Mid South, Southwestern Athletic Conference  , NCAA I-AA  ,X,Jackson State,#4169E1,#FFFFFF
Jacksonville," ""Jacksonville"," FLORIDA""", South East, Pioneer Football League  , NCAA I-AA  ,#REF!,Jacksonville,#215E21,#FFFFFF
Jacksonville State," ""Jacksonville"," ALABAMA""", South East, Ohio Valley Conference  , NCAA I-AA  ,#REF!,Jacksonville State,#a02643,#a02643
James Madison," ""Harrisonburg"," VIRGINIA""", Mid East, Colonial Athletic Association  , NCAA I-AA  ,#REF!,James Madison,#C2A14D,#C2A14D
Kansas," ""Lawrence"," KANSAS""", Mid West, Big 12 Conference  , NCAA I-A  ,#REF!,Kansas,#0049AE,#E31736
Kansas State," ""Manhattan"," KANSAS""", Mid West, Big 12 Conference  , NCAA I-A  ,X,Kansas State,#68217A,#FFFFFF
Kennesaw State," ""Kennesaw"," GEORGIA""", South East, Atlantic Sun Conference  , NCAA I-AA  ,X,Kennesaw State,#FEBC11,#000000
Kent State," ""Kent"," OHIO""", Great Lakes, Mid-American Conference  , NCAA I-A  ,X,Kent State,#0A0D6F,#FFAB1B
Kentucky," ""Lexington"," KENTUCKY""", Mid East, Southeastern Conference  , NCAA I-A  ,#REF!,Kentucky,#00407a,#ffffff
Lafayette," ""Easton"," PENNSYLVANIA""", North East, Patriot League  , NCAA I-AA  ,X,Lafayette,#800000,#ca030a
