School, City and State, Region, Conference, Division,,,,,
Southern Methodist," ""Dallas"," TEXAS""", Mid South, American Athletic Conference  , NCAA I-A  ,X,Southern Methodist,#B10000,#032B66
Southern Mississippi," ""Hattiesburg"," MISSISSIPPI""", Mid South, Conference USA  , NCAA I-A  ,X,Southern Miss,#000000,#FFD700
Southern Utah," ""Cedar City"," UTAH""", South West, Big Sky Conference  , NCAA I-AA  ,X,Southern Utah,#FF0000,#FFFFFF
Stanford," ""Stanford"," CALIFORNIA""", West Coast, Pacific-12 Conference  , NCAA I-A  ,X,Stanford,#990000,#FFFFFF
Stephen F Austin State," ""Nacogdoches"," TEXAS""", Mid South, Southland Conference  , NCAA I-AA  ,X,Stephen F. Austin,,
Stetson," ""DeLand"," FLORIDA""", South East, Pioneer Football League  , NCAA I-AA  ,X,Stetson,#006000,#FFFFFF
Stony Brook," ""Stony Brook"," NEW YORK""", North East, Colonial Athletic Association  , NCAA I-AA  ,#REF!,Stony Brook,#FF0101,#646464
Syracuse," ""Syracuse"," NEW YORK""", North East, Atlantic Coast Conference  , NCAA I-A  ,X,Syracuse,#FF7F00,#ffffff
Temple," ""Philadelphia"," PENNSYLVANIA""", North East, American Athletic Conference  , NCAA I-A  ,X,Temple,#a81625,#000000
Tennessee," ""Knoxville"," TENNESSEE""", Mid East, Southeastern Conference  , NCAA I-A  ,#REF!,Tennessee,#f77f00,#FFFFFF
Tennessee State," ""Nashville"," TENNESSEE""", Mid East, Ohio Valley Conference  , NCAA I-AA  ,#REF!,Tennessee State,#D2DDFC,#D2DDFC
Tennessee Tech," ""Cookeville"," TENNESSEE""", Mid East, Ohio Valley Conference  , NCAA I-AA  ,X,Tennessee Tech,#D2DDFC,#D2DDFC
Texas," ""Austin"," TEXAS""", Mid South, Big 12 Conference  , NCAA I-A  ,#REF!,Texas,#CC5500,#FFFFFF
UTEP," ""El Paso"," TEXAS""", Mid South, Conference USA  , NCAA I-A  ,X,UTEP,#FF7F00,#000080
Texas - San Antonio," ""San Antonio"," TEXAS""", Mid South, Conference USA  , NCAA I-A  ,X,Texas-San Antonio,,
Texas A&M," ""College Station"," TEXAS""", Mid South, Southeastern Conference  , NCAA I-A  ,X,Texas A&M,,
TCU," ""Fort Worth"," TEXAS""", Mid South, Big 12 Conference  , NCAA I-A  ,X,TCU,#342A7B,#FFFFFF
Texas Southern," ""Houston"," TEXAS""", Mid South, Southwestern Athletic Conference  , NCAA I-AA  ,X,Texas Southern,#ccccff,#ccccff
Texas State," ""San Marcos"," TEXAS""", Mid South, Sun Belt Conference  , NCAA I-A  ,X,Texas State,,
Texas Tech," ""Lubbock"," TEXAS""", Mid South, Big 12 Conference  , NCAA I-A  ,#REF!,Texas Tech,#CC0000,#000000
UIW," ""San Antonio"," TEXAS""", Mid South, Southland Conference  , NCAA I-AA  ,#REF!,,,
Toledo," ""Toledo"," OHIO""", Great Lakes, Mid-American Conference  , NCAA I-A  ,X,Toledo,#191970,#FFD700
Towson," ""Towson"," MARYLAND""", North East, Colonial Athletic Association  , NCAA I-AA  ,X,Towson,#000000,#FFE600
Troy," ""Troy"," ALABAMA""", South East, Sun Belt Conference  , NCAA I-A  ,X,Troy,#C41E3A,#000000
Tulane," ""New Orleans"," LOUISIANA""", Mid South, American Athletic Conference  , NCAA I-A  ,X,Tulane,#063003,#063003
Tulsa," ""Tulsa"," OKLAHOMA""", Mid South, American Athletic Conference  , NCAA I-A  ,X,Tulsa,#CFB53B,#084c9e
UC Davis," ""Davis"," CALIFORNIA""", West Coast, Big Sky Conference  , NCAA I-AA  ,X,UC Davis,#002666,#BF9900
UCLA," ""Los Angeles"," CALIFORNIA""", West Coast, Pacific-12 Conference  , NCAA I-A  ,X,UCLA,,
UNLV," ""Las Vegas"," NEVADA""", South West, Mountain West Conference  , NCAA I-A  ,#REF!,UNLV,,
UT Martin," ""Martin"," TENNESSEE""", Mid East, Ohio Valley Conference  , NCAA I-AA  ,#REF!,UT Martin,#a02643,#a02643
Utah," ""Salt Lake City"," UTAH""", South West, Pacific-12 Conference  , NCAA I-A  ,X,Utah,#CC0000,#FFFFFF
Utah State," """," UTAH""", South West, Mountain West Conference  , NCAA I-A  ,X,Utah State,#003366,#FFFFFF
Valparaiso," ""Valparaiso"," INDIANA""", Great Lakes, Pioneer Football League  , NCAA I-AA  ,#REF!,Valparaiso,#964B00,#FFD700
Vanderbilt," ""Nashville"," TENNESSEE""", Mid East, Southeastern Conference  , NCAA I-A  ,X,Vanderbilt,#000000,#997F3D
Villanova," ""Villanova"," PENNSYLVANIA""", North East, Colonial Athletic Association  , NCAA I-AA  ,#REF!,Villanova,#00337F,#ADD8E6
Virginia," ""Charlottesville"," VIRGINIA""", Mid East, Atlantic Coast Conference  , NCAA I-A  ,X,Virginia,#193980,#193980
Virginia Military Institute - VMI," ""Lexington"," VIRGINIA""", Mid East, Big South Conference  , NCAA I-AA  ,X,Virginia Military,,
Virginia Tech," ""Blacksburg"," VIRGINIA""", Mid East, Atlantic Coast Conference  , NCAA I-A  ,X,Virginia Tech,#660000,#ff6600
Wagner College," ""Staten Island"," NEW YORK""", North East, Northeast Conference  , NCAA I-AA  ,X,Wagner,#186ed1,#186ed1
Wake Forest," ""Winston-Salem"," NORTH CAROLINA""", Mid East, Atlantic Coast Conference  , NCAA I-A  ,X,Wake Forest,,
Washington," ""Seattle"," WASHINGTON""", West Coast, Pacific-12 Conference  , NCAA I-A  ,X,Washington,#363c74,#e8d3a2
Washington State," ""Pullman"," WASHINGTON""", West Coast, Pacific-12 Conference  , NCAA I-A  ,X,Washington State,#9e1b34,#606a74
Weber State," ""Ogden"," UTAH""", South West, Big Sky Conference  , NCAA I-AA  ,#REF!,Weber State,#4b2187,#FFFFFF
West Virginia," ""Morgantown"," WEST VIRGINIA""", Mid East, Big 12 Conference  , NCAA I-A  ,#REF!,West Virginia,#FFCC00,#003366
Western Carolina," ""Cullowhee"," NORTH CAROLINA""", Mid East, Southern Conference  , NCAA I-AA  ,X,Western Carolina,#592c87,#c0a878
Western Illinois," ""Macomb"," ILLINOIS""", Great Lakes, Missouri Valley Conference  , NCAA I-AA  ,X,Western Illinois,#5B027A,#FFDB00
Western Kentucky," ""Bowling Green"," KENTUCKY""", Mid East, Conference USA  , NCAA I-A  ,X,Western Kentucky,#FF2222,#00457c
Western Michigan," ""Kalamazoo"," MICHIGAN""", Great Lakes, Mid-American Conference  , NCAA I-A  ,X,Western Michigan,#6a3e0f,#e3bc85
William & Mary," ""Williamsburg"," VIRGINIA""", Mid East, Colonial Athletic Association  , NCAA I-AA  ,X,William & Mary,,
Wisconsin," ""Madison"," WISCONSIN""", Great Lakes, Big Ten Conference  , NCAA I-A  ,#REF!,Wisconsin,#cc1122,#FFFFFF
Wofford College," ""Spartanburg"," SOUTH CAROLINA""", South East, Southern Conference  , NCAA I-AA  ,#REF!,Wofford,#CFB53B,#000000
Wyoming," ""Laramie"," WYOMING""", North West, Mountain West Conference  , NCAA I-A  ,X,Wyoming,#492f24,#ffc425
Yale," ""New Haven"," CONNECTICUT""", New England, Ivy League  , NCAA I-AA  ,X,Yale,#000066,#FFFFFF
Youngstown State," ""Youngstown"," OHIO""", Great Lakes, Missouri Valley Conference  , NCAA I-AA,,Youngstown State,#FF0000,#FFFFFF
